Date,Open,High,Low,Close,Adj Close,Volume,sma_5,sma_10,sma_25,sma_75,sma_125,sma_200
1985-04-25,12333.870117,12333.870117,12333.870117,12333.870117,12333.870117,0,12194.099804599997,12267.33994139999,12461.38953136,,,
1985-04-26,12405.099609,12405.099609,12405.099609,12405.099609,12405.099609,0,12252.159765399996,12249.048925699992,12455.88953136,,,
1985-04-29,12405.099609,12405.099609,12405.099609,12405.099609,12405.099609,0,12297.195702799994,12234.28583969999,12452.363125080003,,,
1985-04-30,12426.290039,12426.290039,12426.290039,12426.290039,12426.290039,0,12357.625780999995,12256.186816299993,12449.968711000003,,,
1985-05-01,12456.650391,12456.650391,12456.650391,12456.650391,12456.650391,0,12405.401952999997,12271.645898399993,12446.201914120002,,,
1985-05-02,12451.790039,12451.790039,12451.790039,12451.790039,12451.790039,0,12428.985937399997,12311.542870999992,12440.112734440001,,,
1985-05-03,12451.790039,12451.790039,12451.790039,12451.790039,12451.790039,0,12438.324023399997,12345.241894399993,12434.953945360003,,,
1985-05-06,12451.790039,12451.790039,12451.790039,12451.790039,12451.790039,0,12447.662109399997,12372.428906099993,12425.939531280002,,,
1985-05-07,12506.299805,12506.299805,12506.299805,12506.299805,12506.299805,0,12463.664062599997,12410.644921799993,12420.997109400003,,,
1985-05-08,12521.200195,12521.200195,12521.200195,12521.200195,12521.200195,0,12476.574023399997,12440.987988199991,12414.514726560004,,,
1985-05-09,12474.509766,12474.509766,12474.509766,12474.509766,12474.509766,0,12481.117968799997,12455.051953099992,12408.411132840001,,,
1985-05-10,12527.30957,12527.30957,12527.30957,12527.30957,12527.30957,0,12496.221874999997,12467.272949199993,12407.73390628,,,
1985-05-13,12541.530273,12541.530273,12541.530273,12541.530273,12541.530273,0,12514.169921799996,12480.916015599994,12403.95671876,12333.854335959999,,
1985-05-14,12504.200195,12504.200195,12504.200195,12504.200195,12504.200195,0,12513.749999799995,12488.707031199996,12398.90753904,12342.669401053334,,
1985-05-15,12358.030273,12358.030273,12358.030273,12358.030273,12358.030273,0,12481.116015399995,12478.845019399994,12389.15156244,12347.968072919999,,
1985-05-16,12369.299805,12369.299805,12369.299805,12369.299805,12369.299805,0,12460.074023199995,12470.595995999993,12380.97156244,12352.994609386666,,
