Date,Open,High,Low,Close,Adj Close,Volume,sma5,sma10,sma25,sma75,sma125,sma200
1985-05-07,1248.22998,1261.369995,1243.150024,1252.75,1252.75,9140000,1246.42002,1258.83302,1262.114819,1252.75,1252.75,1252.75
1985-05-08,1248.670044,1258.939941,1239.51001,1249.780029,1249.780029,9710000,1247.966016,1255.962024,1261.478818,1249.780029,1249.780029,1249.780029
1985-05-09,1251.880005,1265.569946,1246.579956,1260.27002,1260.27002,16290000,1251.566016,1253.511023,1261.567217,1260.27002,1260.27002,1260.27002
1985-05-10,1268.98999,1282.459961,1261.589966,1274.180054,1274.180054,16460000,1256.954028,1253.411023,1262.172417,1274.180054,1274.180054,1274.180054
1985-05-13,1277.609985,1283.569946,1268.77002,1277.5,1277.5,7530000,1262.896021,1255.189026,1263.153218,1277.5,1277.5,1277.5
1985-05-14,1281.469971,1288.650024,1267.670044,1273.300049,1273.300049,11580000,1267.00603,1256.713025,1263.93082,1273.300049,1273.300049,1273.300049
1985-05-15,1271.199951,1283.569946,1265.459961,1273.52002,1273.52002,13980000,1271.754029,1259.860022,1264.474024,1271.04374,1273.52002,1273.52002
1985-05-16,1276.719971,1285.109985,1270.099976,1278.050049,1278.050049,10590000,1275.310034,1263.438025,1265.048428,1270.849474,1278.050049,1278.050049
1985-05-17,1276.829956,1295.829956,1271.420044,1285.339966,1285.339966,14230000,1277.542017,1267.248023,1265.834824,1270.815607,1285.339966,1285.339966
1985-05-20,1298.949951,1310.369995,1292.22998,1304.880005,1304.880005,15320000,1283.018018,1272.957019,1267.358823,1271.057074,1304.880005,1304.880005
1985-05-21,1305,1316.079956,1297.48999,1309.699951,1309.699951,13230000,1290.297998,1278.652014,1268.964819,1271.483473,1309.699951,1309.699951
1985-05-22,1305.219971,1308.920044,1294.349976,1303.76001,1303.76001,8670000,1296.345996,1284.050012,1270.222818,1271.665874,1303.76001,1303.76001
1985-05-23,1301.75,1307.800049,1290.98999,1296.709961,1296.709961,8210000,1300.077979,1287.694007,1271.486016,1271.81894,1296.709961,1296.709961
1985-05-24,1295.469971,1305.670044,1291.109985,1301.969971,1301.969971,6680000,1303.40398,1290.472998,1272.902412,1272.104007,1301.969971,1301.969971
1985-05-28,1305.329956,1312.839966,1293.22998,1301.52002,1301.52002,9210000,1302.731983,1292.875,1274.300811,1272.256541,1301.52002,1301.52002
1985-05-29,1300.959961,1308.359985,1292.790039,1302.97998,1302.97998,8880000,1301.387988,1295.842993,1275.271611,1272.430008,1302.97998,1302.97998
1985-05-30,1306.449951,1314.180054,1293.910034,1305.780029,1305.780029,14740000,1301.791992,1299.068994,1276.363213,1272.826274,1305.780029,1305.780029
1985-05-31,1302.76001,1320.790039,1298.719971,1315.410034,1315.410034,12190000,1305.532007,1302.804993,1277.588413,1273.343608,1315.410034,1315.410034
1985-06-03,1321.23999,1325.040039,1304.209961,1310.930054,1310.930054,10830000,1307.324023,1305.364002,1279.018413,1273.517075,1310.930054,1310.930054
1985-06-04,1310.599976,1321.23999,1304.439941,1315.300049,1315.300049,9450000,1310.080029,1306.406006,1281.241616,1273.882676,1315.300049,1315.300049
1985-06-05,1320.560059,1331.77002,1312.609985,1320.560059,1320.560059,14320000,1313.596045,1307.492017,1283.741616,1274.396543,1320.560059,1320.560059
1985-06-06,1317.199951,1330.530029,1311.939941,1327.280029,1327.280029,9770000,1317.896045,1309.844019,1287.150816,1275.019077,1327.280029,1327.280029
1985-06-07,1329.640015,1331.98999,1312.949951,1316.420044,1316.420044,8590000,1318.098047,1311.815027,1290.116816,1275.462944,1316.420044,1316.420044
1985-06-10,1314.290039,1322.579956,1307.23999,1318.439941,1318.439941,6120000,1319.600024,1313.462024,1292.964815,1275.988276,1318.439941,1318.439941
1985-06-11,1319,1323.810059,1308.02002,1313.839966,1313.839966,8020000,1319.308008,1314.694019,1295.606812,1276.494943,1313.839966,1313.839966
1985-06-12,1312.050049,1318.209961,1300.73999,1306.339966,1306.339966,9550000,1316.463989,1315.030017,1297.75041,1276.879476,1306.339966,1306.339966
1985-06-13,1302.199951,1308.130005,1285.390015,1290.099976,1290.099976,13310000,1309.027979,1313.462012,1299.363208,1276.932676,1290.099976,1290.099976
1985-06-14,1297.380005,1305.439941,1288.880005,1300.959961,1300.959961,9220000,1305.935962,1312.017005,1300.990806,1277.198408,1300.959961,1300.959961
1985-06-17,1298.949951,1303.98999,1288.75,1298.390015,1298.390015,7280000,1301.925977,1310.763001,1301.959204,1277.390142,1298.390015,1298.390015
1985-06-18,1299.400024,1312.390015,1293.680054,1304.77002,1304.77002,10900000,1300.111988,1309.709998,1303.050005,1277.462275,1304.77002,1304.77002
1985-06-19,1304.77002,1312.719971,1293.569946,1297.380005,1297.380005,11310000,1298.319995,1307.391992,1304.013203,1277.566942,1297.380005,1297.380005
1985-06-20,1296.709961,1305.439941,1287.75,1299.72998,1299.72998,7780000,1300.245996,1304.636987,1305.061602,1277.672009,1299.72998,1299.72998
1985-06-21,1297.27002,1326.050049,1293.790039,1324.47998,1324.47998,15770000,1304.95,1305.442981,1306.918799,1278.260142,1324.47998,1324.47998
1985-06-24,1315.079956,1326.719971,1307.800049,1320.560059,1320.560059,10100000,1309.384009,1305.654993,1308.327603,1278.913875,1320.560059,1320.560059
1985-06-25,1322.689941,1338.819946,1314.069946,1323.030029,1323.030029,14050000,1313.036011,1306.573999,1309.053604,1279.625475,1323.030029,1323.030029
1985-06-26,1320.680054,1329.189941,1314.73999,1323.810059,1323.810059,10060000,1318.322021,1308.321008,1309.618008,1280.362275,1323.810059,1323.810059
1985-06-27,1325.939941,1338.709961,1321.800049,1332.209961,1332.209961,9760000,1324.818018,1312.532007,1310.756006,1281.168408,1332.209961,1332.209961
