,Unnamed: 0,Date,Open,High,Low,Close,Adj Close,Volume,sma_5,sma_10,sma_25,sma_75,sma_125,sma_200,%K,%D
1213,1213,1989-11-15,2618.439941,2641.600098,2600.0,2632.580078,2632.580078,18590000,2619.712011599996,2616.229003899995,2635.35238276,2682.066259746668,2617.2821581759945,2510.4228979449986,48.08609742158804,41.50897354772732
1214,1214,1989-11-16,2636.27002,2650.610107,2613.52002,2635.659912,2635.659912,15230000,2626.106005799996,2616.638989199995,2630.38517572,2681.775859360001,2618.3512773119946,2511.9324475049984,51.23579082221376,42.31956002926608
1215,1215,1989-11-17,2632.580078,2665.3701170000004,2623.149902,2652.659912,2652.659912,22330000,2631.515966799996,2618.953979399995,2633.7211718000003,2681.656523426668,2619.748476527994,2513.5394970649986,63.24145291844727,44.396387813849415
1216,1216,1989-11-20,2651.449951,2659.560059,2615.399902,2632.040039,2632.040039,15430000,2632.637988199996,2623.9409910999943,2632.70757804,2681.371057933335,2620.9338359039943,2515.0943469199983,56.62527130436341,47.32817811483702
1217,1217,1989-11-21,2636.300049,2654.219971,2614.969971,2639.290039,2639.290039,15650000,2638.445995999996,2628.1570066999943,2632.7299804,2680.6283919200023,2622.187435511994,2516.555097649998,62.581076062108345,50.17870419941518
1218,1218,1989-11-22,2640.360107,2668.300049,2629.909912,2656.780029,2656.780029,13610000,2643.2859861999955,2631.4989988999937,2633.2551854799995,2680.0631933466684,2623.4915155839944,2518.122947989998,89.04836357833533,54.698477253226464
1219,1219,1989-11-24,2659.97998,2686.01001,2657.0,2675.550049,2675.550049,9890000,2651.264013599995,2638.6850096999938,2632.9491893999993,2679.922792960002,2625.0915155839944,2519.8854980399983,91.48904047548352,59.98528451629751
1220,1220,1989-11-27,2678.75,2713.949951,2663.399902,2694.969971,2694.969971,20410000,2659.7260253999953,2645.620996099994,2633.182392519999,2679.687327466669,2626.8100761359938,2521.9299975549984,87.41713098032635,62.618282408407616
1221,1221,1989-11-28,2691.550049,2715.02002,2677.26001,2702.01001,2702.01001,21400000,2673.7200195999953,2653.1790038999943,2634.7463964399994,2679.9275944000024,2628.5011171519945,2524.0275476049983,91.43570702986318,67.37894747628448
1222,1222,1989-11-29,2697.73999,2713.100098,2677.469971,2688.780029,2688.780029,16420000,2683.6180175999953,2661.0320067999937,2635.928798759999,2680.0723958266685,2629.8687167599946,2526.0651977499983,82.72661047472266,72.38865410674505
1223,1223,1989-11-30,2693.899902,2718.219971,2681.949951,2706.27002,2706.27002,17730000,2693.5160157999953,2668.4010009999947,2638.0483983999993,2680.3189290400023,2631.6732773119948,2528.0768981899987,92.29581491993311,76.80962585657956
1224,1224,1989-12-01,2712.669922,2763.8701170000004,2705.419922,2747.649902,2747.649902,32640000,2707.9359863999953,2679.5999999999945,2643.405195279999,2681.0437272133354,2633.683915983995,2530.2579980399983,91.92059464432172,80.87810623879035
1225,1225,1989-12-04,2751.48999,2772.179932,2731.02002,2753.629883,2753.629883,19660000,2719.667968799995,2689.6969970999944,2649.6815917599993,2682.030393880002,2635.6143945039944,2532.4020471149984,91.12734274302858,83.66669522124849
1226,1226,1989-12-05,2757.679932,2773.889893,2731.22998,2741.679932,2741.679932,19190000,2727.601953199995,2700.6609863999947,2655.209589839999,2682.746526693335,2637.4125546639943,2534.4782971149984,84.71866699779265,86.4760347905914
1227,1227,1989-12-06,2738.27002,2754.909912,2722.699951,2736.77002,2736.77002,15390000,2737.1999513999954,2710.4089844999944,2658.877187519999,2683.9434602933347,2639.1993554479945,2536.7424975549984,79.28809340115333,88.1467365244959
1228,1228,1989-12-07,2733.149902,2756.830078,2702.0,2720.780029,2720.780029,16470000,2740.1019531999955,2716.8089844999945,2661.872392599999,2684.8739941466683,2640.814874975995,2538.8990978949982,70.16131991376973,86.25803215803936
1229,1229,1989-12-08,2733.149902,2750.850098,2716.51001,2731.439941,2731.439941,13500000,2736.859960999996,2722.3979736999945,2665.867587879999,2685.585058600001,2642.6380741919947,2541.3285974049986,75.9844141217236,84.70756952266336
1230,1230,1989-12-11,2725.469971,2742.75,2705.629883,2728.23999,2728.23999,14470000,2731.7819823999953,2725.724975599995,2669.8167870799994,2685.499726560001,2644.437113255995,2543.7179968199985,74.17407760952266,83.38326418558299
1231,1231,1989-12-12,2732.290039,2764.51001,2716.51001,2752.129883,2752.129883,21390000,2733.8719725999954,2730.736962899995,2676.615185519999,2685.763323573335,2646.6541523199953,2546.1866967699984,87.68951755546972,83.00864523814364
1232,1232,1989-12-13,2758.73999,2784.77002,2737.199951,2761.090088,2761.090088,19870000,2738.7359861999953,2737.967968799995,2683.173593719999,2685.999723320001,2648.851833959995,2548.7769470149983,87.184104867229,83.45439467739428
1233,1233,1989-12-14,2751.280029,2771.330078,2732.080078,2753.629883,2753.629883,17890000,2745.305956999996,2742.7039550999953,2688.384384759999,2686.3597233200016,2651.041753879995,2551.216546624998,81.81597839416067,82.40641102481703
1234,1234,1989-12-15,2756.820068,2763.649902,2703.919922,2739.550049,2739.550049,38290000,2746.927978599996,2741.893969799995,2693.818789079999,2686.511725280001,2653.175115207994,2553.5428466749977,73.36869378641934,80.5512209390268
1235,1235,1989-12-18,2734.209961,2755.550049,2679.820068,2697.530029,2697.530029,19950000,2740.785986399996,2736.283984399995,2696.695585959999,2685.981858733335,2655.036076143995,2555.5563964799985,48.62192825397833,76.30067949012178
